Kamar_Tidur,Kamar_Mandi,Garasi,Luas_Tanah,Luas_Bangunan,Harga
3,3,1,88,51,1040000000
3,2,1,70,58,1090000000
4,3,1,240,158,1800000000
3,2,1,165,100,2750000000
4,4,2,300,200,5250000000
3,2,1,165,99,2650000000
3,2,0,104,80,1800000000
2,1,1,78,45,330000000
2,1,1,60,36,160000000
3,3,0,203,175,2850000000
3,2,1,120,100,3500000000
2,1,1,72,40,252000000
4,3,1,400,341,5200000000
2,1,0,60,40,250000000
2,2,1,118,106,1000000000
3,3,1,64,57,1120000000
4,2,1,120,70,427000000
3,3,1,130,80,1250000000
3,2,1,145,100,1100000000
2,2,1,105,70,720000000
3,2,1,200,150,3000000000
2,1,1,84,60,850000000
2,1,0,60,40,225000000
2,1,0,126,110,2150000000
4,2,2,140,81,1650000000
3,1,1,90,60,470000000
2,1,0,72,45,535000000
3,2,4,415,300,7800000000
7,6,2,410,350,9800000000
4,4,2,220,139,3500000000
4,3,2,250,210,4000000000
3,3,2,180,110,2950000000
5,5,2,590,340,7300000000
3,2,2,300,227,6500000000
4,4,0,400,300,6990000000
5,4,1,500,366,4000000000
3,2,0,392,336,6900000000
5,3,0,505,450,5500000000
3,2,1,145,130,1100000000
4,3,3,250,157,4150000000
3,2,4,415,300,7800000000
4,3,2,250,210,4000000000
2,1,1,41,34,675000000
5,4,2,160,127,2850000000
2,1,0,42,30,180000000
3,2,2,200,120,1650000000
4,4,2,300,280,5750000000
3,2,3,400,300,3300000000
3,1,1,94,80,895000000
3,2,1,120,76,520000000
3,3,1,200,140,799000000
3,3,2,400,280,4500000000
4,4,2,550,320,6500000000
6,5,2,516,480,5490000000
2,1,1,72,50,311000000
3,2,1,124,84,1400000000
3,2,1,235,120,2850000000
3,2,2,410,225,3820000000
3,2,1,91,90,1500000000
6,4,2,700,450,8000000000
7,2,2,720,500,1050000000
9,6,2,1300,740,5900000000
3,2,0,108,80,1950000000
3,2,2,120,91,1990000000
3,2,2,200,198,3970000000
4,3,1,189,175,2950000000
4,3,2,420,350,6000000000
3,3,1,252,215,3820000000
5,3,1,267,210,3200000000
5,4,1,350,312,6990000000
2,1,1,60,30,185000000
3,2,2,145,120,2380000000
3,3,2,120,109,1570000000
5,3,0,200,105,1500000000
4,3,2,160,126,2390000000
3,3,2,163,120,310000000
3,2,2,131,130,800000000
4,3,1,160,90,950000000
5,3,5,251,238,3200000000
2,1,0,60,40,310000000
5,4,0,368,250,3500000000
2,1,1,72,50,320000000
2,1,1,60,30,190000000
3,2,3,278,180,95000000
2,2,1,116,100,1800000000
4,4,2,198,180,3900000000
4,3,2,255,140,3400000000
3,2,1,131,131,800000000
2,2,0,165,110,1750000000
3,1,1,124,80,1100000000
3,2,2,94,79,838000000
3,2,1,162,100,2500000000
3,3,1,150,122,1800000000
2,1,1,72,50,1100000000
4,4,1,400,300,4250000000
3,2,1,102,100,1850000000
6,3,0,160,140,1600000000
2,1,2,119,90,117000000
5,4,1,450,399,4900000000
5,5,1,550,440,7500000000
5,5,3,580,320,8800000000
